k,state_i,state_j,vi,nmi,ari,q_diff,q_diff_pval
12,3,11,0.22336034075521358,0.6986073352281575,0.5755830580671454,0.0035116810114983465,1.0
12,4,5,0.18562664039813354,0.7451583025036216,0.6485808045304456,0.021242121437737516,1.0
12,4,6,0.19665286787605774,0.7426122123453486,0.5662169276398135,0.029978797031968263,1.0
12,4,7,0.26147607806305795,0.6571522303583683,0.4786553253612679,-0.021411751262738532,1.0
12,4,8,0.19525111578565604,0.7543630235407356,0.6104687879861357,-0.007804542943434023,1.0
12,4,9,0.1251557560220577,0.8439970976472271,0.7656608228751333,-0.002443482206012315,1.0
12,4,10,0.14596108693802912,0.7998119846778738,0.7083438334669493,0.006998439243216414,1.0
12,4,11,0.18792714127616028,0.7551338260807517,0.6952598092653116,-0.004041071357424486,1.0
12,5,6,0.18589912971892392,0.7338805921273528,0.5892382282613561,0.008736675594230747,1.0
12,5,7,0.1844076172752972,0.7354954745915737,0.6147428981046621,-0.04265387270047605,1.0
12,5,8,0.1858023724312376,0.7452663600253305,0.61739173620839,-0.02904666438117154,1.0
12,5,9,0.21036224253883778,0.7144872196276915,0.5789799531306038,-0.02368560364374983,1.0
12,5,10,0.09198539957547879,0.8613930255641782,0.8733820004022581,-0.014243682194521101,1.0
12,5,11,0.16474840951202488,0.7653125437075904,0.7028043792471298,-0.025283192795162,1.0
12,6,7,0.11424734690373171,0.8440979564313529,0.8064823691783642,-0.051390548294706795,1.0
12,6,8,0.17590042363399963,0.7700745007160388,0.6456136495915978,-0.037783339975402286,1.0
12,6,9,0.20106128512242127,0.7396999029223997,0.57868201475056,-0.03242227923798058,1.0
12,6,10,0.14860537186617345,0.7874866713429676,0.6383319040019034,-0.02298035778875185,1.0
12,6,11,0.16025182096935522,0.7827460118336359,0.6383341172754006,-0.03401986838939275,1.0
12,7,8,0.18595649525533428,0.7564925250561861,0.6283481804327885,0.013607208319304509,1.0
12,7,9,0.22362170160521241,0.7099765988605496,0.5506640192303278,0.018968269056726217,1.0
12,7,10,0.16956525326564603,0.7570355658342702,0.6349467240988438,0.028410190505954946,1.0
12,7,11,0.22153941258912965,0.6990976970420744,0.5445896879265248,0.017370679905314046,1.0
12,8,9,0.19510345300945348,0.7571117929936502,0.6045205386944146,0.005361060737421708,1.0
12,8,10,0.21148635230841273,0.7103398301624131,0.5788408894614337,0.014802982186650437,1.0
12,8,11,0.19171338951034478,0.7505250915552417,0.6032855168603636,0.003763471586009537,1.0
12,9,10,0.21669231895757363,0.7061829710939421,0.5641078273286024,0.00944192144922873,1.0
12,9,11,0.1915180643224756,0.7531527091108047,0.624070281751258,-0.001597589151412171,1.0
12,10,11,0.12273277845768053,0.8253438529211141,0.7505873523346596,-0.0110395106006409,1.0
13,0,1,0.17955504806073702,0.7379487023171437,0.672011491174294,0.049475443679833475,1.0
13,0,2,0.22215337736795504,0.6964806785357165,0.5523867872852846,0.08481138273270061,1.0
13,0,3,0.19933023767087646,0.7135543443572216,0.6359746278820184,0.0344219819659034,1.0
13,0,4,0.18146347911952573,0.755133549542296,0.6164686108212788,0.08954619234173378,1.0
13,0,5,0.25360703579297617,0.6533531219025218,0.45061033271243317,0.08896830176852122,1.0
13,0,6,0.20568306674759299,0.7196245509520276,0.6008775365127962,0.05489703085017683,1.0
13,0,7,0.15772435436274523,0.771538163359895,0.7134914354983379,0.028496116205663946,1.0
13,0,8,0.0571087310965978,0.9249359434048562,0.8885528267423466,0.0027958618761446674,1.0
13,0,9,0.14750996275309974,0.7991380262730022,0.7359492314125418,0.030113840956325633,1.0
13,0,10,0.11802152163662927,0.8464591081618377,0.732678606691091,0.008175583942732434,1.0
13,0,11,0.2162743580288596,0.7019103919406292,0.49563636033075725,0.044851561121050376,1.0
13,0,12,0.24664801797964747,0.6473828207821685,0.4576074725905479,0.05283412521987485,1.0
13,1,2,0.22211880427389635,0.6757655903527944,0.5366555875282492,0.03533593905286714,1.0
13,1,3,0.1358003477244568,0.7907563349604207,0.7541109779268975,-0.015053461713930072,1.0
13,1,4,0.26659517536208927,0.6159691303272594,0.46046381279021664,0.0400707486619003,1.0
13,1,5,0.23438058694480013,0.6577045199167217,0.5024441649145632,0.03949285808868774,1.0
13,1,6,0.1719879199957604,0.7495552360565035,0.6330571146950019,0.005421587170343356,1.0
13,1,7,0.1525631485823536,0.7629189523601664,0.7222125201352587,-0.02097932747416953,1.0
13,1,8,0.19166542109393775,0.7315351661980651,0.6288930146364586,-0.04667958180368881,1.0
13,1,9,0.1252276611793715,0.8178549016756822,0.7227447040823052,-0.019361602723507843,1.0
13,1,10,0.2575305075309121,0.6432088941342134,0.4763238797366698,-0.04129985973710104,1.0
13,1,11,0.2098061609627006,0.6908550378400753,0.5006083294945358,-0.004623882558783099,1.0
13,1,12,0.2324333772291755,0.6438399845404862,0.5327029840205137,0.003358681540041375,1.0
13,2,3,0.23301096209939057,0.6650891767429619,0.5335808476520841,-0.05038940076679721,1.0
13,2,4,0.19554137950916728,0.7360890609301681,0.6328273186833621,0.004734809609033164,1.0
13,2,5,0.2637603587319012,0.6394087341003483,0.5021776224002099,0.004156919035820605,1.0
13,2,6,0.14942803901727472,0.7962709283291755,0.7310450213572323,-0.029914351882523782,1.0
13,2,7,0.26772122177515817,0.6121336122337476,0.4537030513403325,-0.05631526652703667,1.0
13,2,8,0.24987262031650762,0.6715079860538324,0.48535094866921,-0.08201552085655595,1.0
13,2,9,0.18847704515789368,0.7433068863132158,0.6506936466447065,-0.05469754177637498,1.0
13,2,10,0.16134588564787117,0.7900593270500367,0.7158745673774652,-0.07663579878996818,1.0
13,2,11,0.23850297317708938,0.6712120055544584,0.5623222959850385,-0.03995982161165024,1.0
13,2,12,0.26919633640023494,0.6150730443810286,0.48931056831298214,-0.03197725751282576,1.0
13,3,4,0.22350346008766228,0.682922787463344,0.5757479959957643,0.055124210375830374,1.0
13,3,5,0.1939140596313734,0.721153807452835,0.6214689118161276,0.054546319802617815,1.0
13,3,6,0.21582221311527552,0.6905393295226737,0.5740663782087349,0.020475048884273428,1.0
13,3,7,0.17191773671296426,0.7372053441838863,0.651969968101823,-0.005925865760239457,1.0
13,3,8,0.20829980057610514,0.7125373889961397,0.598876606918228,-0.031626120089758736,1.0
13,3,9,0.22471131349709722,0.6781562557464741,0.5597819778655544,-0.004308141009577771,1.0
13,3,10,0.19082235433757397,0.739484696035109,0.6338433992276996,-0.02624639802317097,1.0
13,3,11,0.1630965121722378,0.7634053762963976,0.6203210468305629,0.010429579155146973,1.0
13,3,12,0.23460333565783723,0.6463053845107767,0.5715121654034445,0.018412143253971447,1.0
13,4,5,0.20817038540178134,0.7189213275889369,0.6142105721691025,-0.0005778905732125583,1.0
13,4,6,0.2183241440800983,0.7060045859927881,0.600900952096653,-0.034649161491556946,1.0
13,4,7,0.2726946170428876,0.6100948534921917,0.4538084418586571,-0.06105007613606983,1.0
13,4,8,0.1585492280405875,0.7940416162350412,0.6777988750595475,-0.08675033046558911,1.0
13,4,9,0.2501694571972254,0.6634778566500374,0.5097783615989803,-0.059432351385408144,1.0
13,4,10,0.14522557449819853,0.8132572280935257,0.7191352139753657,-0.08137060839900134,1.0
13,4,11,0.259598056679179,0.6465874124289059,0.5236738467285372,-0.0446946312206834,1.0
13,4,12,0.19126468946377262,0.730039036959389,0.6363709143809548,-0.03671206712185893,1.0
13,5,6,0.2598689645174932,0.6455397874395102,0.5076835240824419,-0.03407127091834439,1.0
13,5,7,0.27897605673388265,0.5956378623347285,0.40908708649016445,-0.06047218556285727,1.0
13,5,8,0.22054197885334417,0.709943430086691,0.5226453187655786,-0.08617243989237655,1.0
13,5,9,0.2755517627950534,0.6245510362949399,0.44480172694871994,-0.058854460812195586,1.0
13,5,10,0.20109315380277196,0.7382303010842388,0.6087076132839255,-0.08079271782578878,1.0
13,5,11,0.17897174888189007,0.7531682962103354,0.6314132367549178,-0.04411674064747084,1.0
13,5,12,0.22366846587740008,0.6800254144312139,0.5822700589214658,-0.03613417654864637,1.0
13,6,7,0.23778832652579876,0.6563328158674944,0.5267937027831813,-0.026400914644512885,1.0
13,6,8,0.23822838884271,0.6875035282237539,0.5353701891947475,-0.052101168974032164,1.0
13,6,9,0.16662720743221082,0.7735810207536192,0.7006082131768717,-0.0247831898938512,1.0
13,6,10,0.18670240682653952,0.757593743677472,0.6717058862017713,-0.0467214469074444,1.0
13,6,11,0.29127969826205397,0.5993810591183519,0.4064079390246712,-0.010045469729126455,1.0
13,6,12,0.22008581248330256,0.686048119657954,0.5752568091919853,-0.002062905630301981,1.0
13,7,8,0.16695011206673338,0.7678397404893221,0.6748174244807068,-0.02570025432951928,1.0
13,7,9,0.1940031759366563,0.7199321219589186,0.6079965465539863,0.0016177247506616865,1.0
13,7,10,0.23771789438217825,0.6730066967779759,0.5110513578535941,-0.020320532262931512,1.0
13,7,11,0.2262683937108927,0.6691259656615751,0.48046536017060804,0.01635544491538643,1.0
13,7,12,0.2641669616500766,0.598404734725212,0.4373829683389417,0.024338009014210904,1.0
13,8,9,0.17163599174660463,0.7750881061949696,0.6690733546930808,0.027317979080180965,1.0
13,8,10,0.17448313659417625,0.7811865281931085,0.6247928409099276,0.0053797220665877665,1.0
13,8,11,0.2006116989063702,0.7340339036733342,0.5469756761067637,0.04205569924490571,1.0
13,8,12,0.18974518215280034,0.7394393647301246,0.5389023026636667,0.05003826334373018,1.0
13,9,10,0.21078296610561456,0.7266075976832781,0.5975422946818647,-0.0219382570135932,1.0
13,9,11,0.27589486078983444,0.6209507588765171,0.40663384622837456,0.014737720164724744,1.0
