k,state,module_id,module_size,module_Q,module_pvalue,fdr_bh_pval_0.05,fdr_bh_sig_0.05,fdr_bh_pval_0.01,fdr_bh_sig_0.01,fdr_bh_pval_0.001,fdr_bh_sig_0.001,bonf_pval_0.05,bonf_sig_0.05,roi_examples
9,7,2,17,0.12299170838297786,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,AID_left; DI_left; Fr3_left; GI_left; S1DZ0_left
9,7,3,24,0.13577961390859528,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Au1_left; AUD_left; AuV_left; Hipp_CA1_A_left; Hipp_CA2_left
9,7,4,17,0.0820554088128491,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Brainstem_left; Cent_Gray_left; Cerebellum_left; DLEnt_left; Ect_left
9,7,5,10,0.05254687859599151,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Cg_left; M1_left; M2_left; Cg_right; M1_right
9,7,6,16,0.1141021043654045,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,V1B_left; V1_left; V2L_left; DLEnt_right; Ect_right
9,8,1,18,0.11426695968189113,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,Acumbens_left; AIV_left; Cg_left; IL_left; LSeptn_left
9,8,2,24,0.1539116272045811,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,AID_left; AIP_left; Amygdala_left; DI_left; Fr3_left
9,8,3,25,0.12968860708828694,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,Au1_left; AuV_left; Brainstem_left; Cent_Gray_left; Cerebellum_left
9,8,4,18,0.11104609110169877,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,AUD_left; Hipp_CA3_A_left; Hipp_FC_left; LPtA_left; MPtA_left
9,8,5,9,0.031434963548506493,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,Hypothalamus_left; SaM_left; SaP_left; Thalamus_A_left; Thalamus_P_left
9,8,6,8,0.03416141043196016,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,S1BF_left; S1FL_left; S1HL_left; M1_right; S1BF_right
9,8,7,12,0.09580382070442822,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.06930693069306931,False,DLEnt_right; Ect_right; Hipp_CA1_A_right; Hipp_CA1_P_right; Hipp_CA2_right
10,0,1,30,0.15205419277408883,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Acumbens_left; AIP_left; AIV_left; Amygdala_left; GIDI_left
10,0,2,15,0.11243077752752827,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,AID_left; DI_left; Fr3_left; GI_left; S1DZ0_left
10,0,3,27,0.15200250831723539,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Au1_left; AUD_left; AuV_left; Hipp_CA1_A_left; Hipp_CA2_left
10,0,4,16,0.07050317470172449,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Brainstem_left; Cent_Gray_left; Cerebellum_left; DLEnt_left; Ect_left
10,0,5,13,0.07002523198122237,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Cg_left; M1_left; M2_left; S1DZ_left; S1FL_left
10,0,6,13,0.098939784206359,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,DLEnt_right; Ect_right; Hipp_CA1_A_right; Hipp_CA1_P_right; Hipp_CA2_right
10,1,1,37,0.19839496803863008,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Acumbens_left; AID_left; AIP_left; AIV_left; Amygdala_left
10,1,2,17,0.11842713701796637,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Au1_left; AuV_left; Cerebellum_right; DLEnt_right; Ect_right
10,1,3,26,0.13026906359096047,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,AUD_left; Hipp_CA1_A_left; Hipp_CA2_left; Hipp_CA3_A_left; Hipp_CA3_P_left
10,1,4,13,0.05535522068106163,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Brainstem_left; Cent_Gray_left; Cerebellum_left; DLEnt_left; Ect_left
10,1,5,15,0.08425441807009537,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Cg_left; M1_left; M2_left; PrL_left; S1DZ_left
10,1,6,6,0.014924260240868794,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Hypothalamus_left; Thalamus_A_left; Thalamus_P_left; Hypothalamus_right; Thalamus_A_right
10,2,1,32,0.13971111297599983,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,Acumbens_left; Cg_left; Hypothalamus_left; IL_left; LSeptn_left
10,2,2,27,0.16782156204965548,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,AID_left; AIP_left; AIV_left; Amygdala_left; DI_left
10,2,3,19,0.07861614419132053,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,Au1_left; AuV_left; Brainstem_left; Cent_Gray_left; Cerebellum_left
10,2,4,18,0.11542058149814999,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,AUD_left; Hipp_CA3_A_left; Hipp_FC_left; LPtA_left; MPtA_left
10,2,5,18,0.1266116453248135,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,Superior_Colliculus_left; Central_Gray_right; Cerebellum_right; DLEnt_right; Ect_right
10,3,1,25,0.10807208623497118,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Acumbens_left; AIP_left; AIV_left; Amygdala_left; GIDI_left
10,3,2,16,0.12079753042932076,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,AID_left; DI_left; Fr3_left; GI_left; S1DZ0_left
10,3,3,25,0.14489387497433,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Au1_left; AUD_left; Hipp_CA1_A_left; Hipp_CA2_left; Hipp_CA3_A_left
10,3,4,14,0.1036171766974483,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,AuV_left; DLEnt_right; Ect_right; Hipp_CA1_A_right; Hipp_CA1_P_right
10,3,5,16,0.07058788337583145,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Brainstem_left; Cent_Gray_left; Cerebellum_left; DLEnt_left; Ect_left
10,3,6,18,0.09452573828432147,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Cg_left; IL_left; M1_left; M2_left; PrL_left
10,4,1,25,0.13114077650025374,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Acumbens_left; AIV_left; Cg_left; IL_left; LSeptn_left
10,4,2,22,0.1424742172492873,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,AID_left; AIP_left; DI_left; Fr3_left; GI_left
10,4,3,10,0.033989647334351586,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Amygdala_left; GIDI_left; Hypothalamus_left; SaM_left; SaP_left
10,4,4,27,0.1598906085240305,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Au1_left; AUD_left; Hipp_CA1_A_left; Hipp_CA2_left; Hipp_CA3_A_left
10,4,5,14,0.1048269595298888,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,AuV_left; DLEnt_right; Ect_right; Hipp_CA1_A_right; Hipp_CA1_P_right
10,4,6,16,0.08274952347660529,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.0594059405940594,False,Brainstem_left; Cent_Gray_left; Cerebellum_left; DLEnt_left; Ect_left
10,5,1,33,0.15099568943215988,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,Acumbens_left; AIV_left; Amygdala_left; Cg_left; Hypothalamus_left
10,5,2,24,0.15270878699529591,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,AID_left; AIP_left; DI_left; Fr3_left; GIDI_left
10,5,3,27,0.15416477849839383,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,Au1_left; AUD_left; Hipp_CA1_A_left; Hipp_CA2_left; Hipp_CA3_A_left
10,5,4,14,0.10329136489182959,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,AuV_left; DLEnt_right; Ect_right; Hipp_CA1_A_right; Hipp_CA1_P_right
10,5,5,16,0.07604754912414181,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,Brainstem_left; Cent_Gray_left; Cerebellum_left; DLEnt_left; Ect_left
10,6,1,22,0.1070396073331444,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,Acumbens_left; AIV_left; Cg_left; IL_left; LSeptn_left
10,6,2,26,0.15924943075587297,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,AID_left; AIP_left; DI_left; Fr3_left; GIDI_left
10,6,3,9,0.028879186858928846,0.009900990099009901,0.009900990099009901,True,0.009900990099009901,True,0.009900990099009901,False,0.04950495049504951,True,Amygdala_left; Hypothalamus_left; SaM_left; SaP_left; Thalamus_A_left
